Sampling_Rate,Duration,Score,Recording_Length,Error,Participant,Database,Method
500,0.000998,0.011494008101831979,0.16666666666666666,None,LUDB_89,LUDB,none
500,0.000997,0.016597298108251023,0.16666666666666666,None,LUDB_90,LUDB,none
500,0.000997,0.011208572532198155,0.16666666666666666,None,LUDB_91,LUDB,none
500,0.000997,0.0006374103071773079,0.16666666666666666,None,LUDB_92,LUDB,none
500,0.001994,0.033680327951735506,0.16666666666666666,None,LUDB_93,LUDB,none
500,0.001994,0.003701359679919759,0.16666666666666666,None,LUDB_94,LUDB,none
500,0.000997,0.03544475385193117,0.16666666666666666,None,LUDB_95,LUDB,none
500,0.001994,0.012056596468751304,0.16666666666666666,None,LUDB_96,LUDB,none
500,0.000998,0.00438851068425004,0.16666666666666666,None,LUDB_97,LUDB,none
500,0.000998,0.002003724466841069,0.16666666666666666,None,LUDB_98,LUDB,none
500,0.001994,0.00403213231104452,0.16666666666666666,None,LUDB_99,LUDB,none
500,0.000998,0.0038400031852258093,0.16666666666666666,None,LUDB_100,LUDB,none
500,0.001994,0.01133969486441606,0.16666666666666666,None,LUDB_101,LUDB,none
500,0.000998,0.001579574048429916,0.16666666666666666,None,LUDB_102,LUDB,none
500,0.001994,0.0016903834381940361,0.16666666666666666,None,LUDB_103,LUDB,none
500,0.001994,0.003627791765217078,0.16666666666666666,None,LUDB_104,LUDB,none
500,0.000997,0.023662245907817472,0.16666666666666666,None,LUDB_105,LUDB,none
500,0.000998,0.013150890983974569,0.16666666666666666,None,LUDB_106,LUDB,none
500,0.001995,0.0025349939585463384,0.16666666666666666,None,LUDB_107,LUDB,none
500,0.000998,0.01960052983538692,0.16666666666666666,None,LUDB_108,LUDB,none
500,0.001994,0.09623850715517934,0.16666666666666666,None,LUDB_109,LUDB,none
500,0.001994,0.003707644555712902,0.16666666666666666,None,LUDB_110,LUDB,none
500,0.001993,0.09753706791846846,0.16666666666666666,None,LUDB_111,LUDB,none
500,0.001006,0.023788043361774366,0.16666666666666666,None,LUDB_112,LUDB,none
500,0.001996,0.006032548912898025,0.16666666666666666,None,LUDB_113,LUDB,none
500,0.000997,0.000717596547886879,0.16666666666666666,None,LUDB_114,LUDB,none
500,0.001995,0.00446518768421794,0.16666666666666666,None,LUDB_115,LUDB,none
500,0.000997,0.011093052149796273,0.16666666666666666,None,LUDB_116,LUDB,none
500,0.001995,0.0033351492989229436,0.16666666666666666,None,LUDB_117,LUDB,none
500,0.000997,0.004244640702043265,0.16666666666666666,None,LUDB_118,LUDB,none
500,0.000997,0.007466170826259636,0.16666666666666666,None,LUDB_119,LUDB,none
500,0.000997,0.0013662362255164953,0.16666666666666666,None,LUDB_120,LUDB,none
500,0.000997,0.0002723309069025012,0.16666666666666666,None,LUDB_121,LUDB,none
500,0.001994,0.011348957661204178,0.16666666666666666,None,LUDB_122,LUDB,none
500,0.001995,0.0041752001845203,0.16666666666666666,None,LUDB_123,LUDB,none
500,0.001995,0.0028602703381811327,0.16666666666666666,None,LUDB_124,LUDB,none
500,0.000998,0.006289932029803067,0.16666666666666666,None,LUDB_125,LUDB,none
500,0.001994,0.001764114100066219,0.16666666666666666,None,LUDB_126,LUDB,none
